Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Tagesmittelwerte über 125 µg/m³*;Zahl der Stundenmittelwerte über 350 µg/m³
Bremen;DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;0,92;0;0
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;1,2;0;0
Bremen;DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;1,7;0;0
Hessen;DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;0,85;0;0
Hessen;DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;1,3;0;0
Hessen;DEHE011;Hanau;städtisches Gebiet;Hintergrund;0,85;0;0
Hessen;DEHE013;Kassel Mitte;städtisches Gebiet;Hintergrund;0,87;0;0
Hessen;DEHE018;Raunheim;städtisches Gebiet;Hintergrund;0,88;0;0
Hessen;DEHE020;Wetzlar;städtisches Gebiet;Hintergrund;0,92;0;0
Hessen;DEHE022;Wiesbaden Süd;städtisches Gebiet;Hintergrund;0,9;0;0
Hessen;DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;0,94;0;0
Hamburg;DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;3,1;0;0
Hamburg;DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;3,2;0;0
Hamburg;DEHH079;Hamburg Altona Elbhang;städtisches Gebiet;Hintergrund;3,4;0;0
Hamburg;DEHH081;Hamburg Hafen;städtisches Gebiet;Hintergrund;4,1;0;0
Mecklenburg-Vorpommern;DEMV019;Güstrow;städtisches Gebiet;Hintergrund;0,93;0;0
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;0,77;0;0
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;3,8;0;0
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;1,3;0;0
Rheinland-Pfalz;DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;1,2;0;0
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;1,2;0;0
Saarland;DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;1,8;0;0
Saarland;DESL017;Völklingen-City Stadionstr.;städtisches Gebiet;Hintergrund;2,3;0;0
Schleswig-Holstein;DESH035;Brunsbüttel-Cuxhavener Straße;städtisches Gebiet;Hintergrund;0,87;0;0
Sachsen;DESN001;Annaberg-Buchholz;städtisches Gebiet;Hintergrund;1,4;0;0
Sachsen;DESN024;Klingenthal;städtisches Gebiet;Hintergrund;0,76;0;0
Sachsen;DESN092;Dresden-Winckelmannstr.;städtisches Gebiet;Hintergrund;2,1;0;0
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;1,5;0;0
Sachsen-Anhalt;DEST028;Zeitz;städtisches Gebiet;Hintergrund;1,7;0;0
Sachsen-Anhalt;DEST077;Magdeburg/West;städtisches Gebiet;Hintergrund;0,99;0;0
Thüringen;DETH009;Gera Friedericistr.;städtisches Gebiet;Hintergrund;0,94;0;0
Thüringen;DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Hintergrund;0,87;0;0
Brandenburg;DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;1,8;0;0
Brandenburg;DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;1,9;0;0
Baden-Württemberg;DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;3,1;0;0
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;2,2;0;0
Sachsen-Anhalt;DEST090;Leuna;vorstädtisches Gebiet;Industrie;2,8;0;0
Baden-Württemberg;DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;1,1;0;0
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;0,94;0;0
Nordrhein-Westfalen;DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;1,7;0;0
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;vorstädtisches Gebiet;Hintergrund;3,1;0;0
Saarland;DESL002;Bexbach Schule;vorstädtisches Gebiet;Hintergrund;2,1;0;0
